fileName,movLength*4,aBiggerThanThree,aBiggerThanThreePercentage,aZero,aZeroPercentage,bNotZero,bNotZeroPercentage
movement_0_0_0.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_0_1.csv,2000,0,0.0,1,0.05,0,0.0
movement_0_0_2.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_0_3.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_0_4.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_0_5.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_0_6.csv,2000,0,0.0,0,0.0,2000,100.0
movement_0_0_7.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_0_8.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_0_9.csv,2000,0,0.0,27,1.35,992,49.6
movement_0_0_10.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_0_11.csv,2000,0,0.0,0,0.0,979,48.949999999999996
movement_0_0_12.csv,2000,0,0.0,1,0.05,1013,50.64999999999999
movement_0_0_13.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_0_14.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_0_15.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_0_16.csv,2000,0,0.0,55,2.75,1052,52.6
movement_0_0_17.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_0_18.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_0_19.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_0_20.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_0_21.csv,2000,0,0.0,134,6.7,1017,50.849999999999994
movement_0_0_22.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_0_23.csv,2000,0,0.0,0,0.0,2000,100.0
movement_0_0_24.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_0_25.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_0_26.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_0_27.csv,2000,0,0.0,2,0.1,0,0.0
movement_0_0_28.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_0_29.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_0_30.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_0_31.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_0_32.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_0_33.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_0_34.csv,2000,0,0.0,105,5.25,0,0.0
movement_0_0_35.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_0_36.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_0_37.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_0_38.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_0_39.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_0_40.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_0_41.csv,2000,0,0.0,35,1.7500000000000002,982,49.1
movement_0_0_42.csv,2000,0,0.0,0,0.0,2000,100.0
movement_0_0_43.csv,2000,0,0.0,202,10.100000000000001,0,0.0
movement_0_0_44.csv,2000,0,0.0,116,5.800000000000001,0,0.0
movement_0_0_45.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_0_46.csv,2000,0,0.0,0,0.0,975,48.75
movement_0_0_47.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_0_48.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_0_49.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_0_50.csv,2000,0,0.0,0,0.0,1998,99.9
movement_0_0_51.csv,2000,0,0.0,122,6.1,1010,50.5
movement_0_0_52.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_0_53.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_0_54.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_0_55.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_0_56.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_0_57.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_0_58.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_0_59.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_0_60.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_0_61.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_0_62.csv,2000,0,0.0,0,0.0,1024,51.2
movement_0_0_63.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_0_64.csv,2000,0,0.0,50,2.5,0,0.0
movement_0_0_65.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_0_66.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_0_67.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_0_68.csv,2000,0,0.0,11,0.5499999999999999,0,0.0
movement_0_0_69.csv,2000,0,0.0,0,0.0,1000,50.0
movement_0_0_70.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_0_71.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_0_72.csv,2000,0,0.0,156,7.8,1472,73.6
movement_0_0_73.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_0_74.csv,2000,0,0.0,0,0.0,1382,69.1
movement_0_0_75.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_0_76.csv,2000,0,0.0,0,0.0,469,23.45
movement_0_0_77.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_0_78.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_0_79.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_0_80.csv,2000,0,0.0,0,0.0,998,49.9
movement_0_0_81.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_0_82.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_0_83.csv,2000,0,0.0,0,0.0,2000,100.0
movement_0_0_84.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_0_85.csv,2000,0,0.0,131,6.550000000000001,1505,75.25
movement_0_0_86.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_0_87.csv,2000,0,0.0,0,0.0,977,48.85
movement_0_0_88.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_0_89.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_0_90.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_0_91.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_0_92.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_0_93.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_0_94.csv,2000,0,0.0,124,6.2,0,0.0
movement_0_0_95.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_0_96.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_0_97.csv,2000,0,0.0,129,6.45,0,0.0
movement_0_0_98.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_0_99.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_1_0.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_1_1.csv,2000,0,0.0,0,0.0,1005,50.24999999999999
movement_0_1_2.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_1_3.csv,2000,0,0.0,0,0.0,2000,100.0
movement_0_1_4.csv,2000,0,0.0,0,0.0,631,31.55
movement_0_1_5.csv,2000,0,0.0,42,2.1,997,49.85
movement_0_1_6.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_1_7.csv,2000,0,0.0,0,0.0,1465,73.25
movement_0_1_8.csv,2000,0,0.0,0,0.0,1739,86.95
movement_0_1_9.csv,2000,0,0.0,0,0.0,1248,62.4
movement_0_1_10.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_1_11.csv,2000,0,0.0,0,0.0,1473,73.65
movement_0_1_12.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_1_13.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_1_14.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_1_15.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_1_16.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_1_17.csv,2000,0,0.0,0,0.0,2000,100.0
movement_0_1_18.csv,2000,0,0.0,6,0.3,1461,73.05
movement_0_1_19.csv,2000,0,0.0,20,1.0,126,6.3
movement_0_1_20.csv,2000,0,0.0,0,0.0,1026,51.300000000000004
movement_0_1_21.csv,2000,0,0.0,0,0.0,2000,100.0
movement_0_1_22.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_1_23.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_1_24.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_1_25.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_1_26.csv,2000,0,0.0,0,0.0,682,34.1
movement_0_1_27.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_1_28.csv,2000,0,0.0,11,0.5499999999999999,0,0.0
movement_0_1_29.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_1_30.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_1_31.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_1_32.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_1_33.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_1_34.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_1_35.csv,2000,0,0.0,64,3.2,1681,84.05
movement_0_1_36.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_1_37.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_1_38.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_1_39.csv,2000,0,0.0,0,0.0,2000,100.0
movement_0_1_40.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_1_41.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_1_42.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_1_43.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_1_44.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_1_45.csv,2000,0,0.0,0,0.0,389,19.45
movement_0_1_46.csv,2000,0,0.0,0,0.0,1149,57.45
movement_0_1_47.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_1_48.csv,2000,0,0.0,0,0.0,1498,74.9
movement_0_1_49.csv,2000,0,0.0,0,0.0,1805,90.25
movement_0_1_50.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_1_51.csv,2000,0,0.0,5,0.25,0,0.0
movement_0_1_52.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_1_53.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_1_54.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_1_55.csv,2000,0,0.0,0,0.0,1026,51.300000000000004
movement_0_1_56.csv,2000,0,0.0,0,0.0,1301,65.05
movement_0_1_57.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_1_58.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_1_59.csv,2000,0,0.0,0,0.0,1724,86.2
movement_0_1_60.csv,2000,0,0.0,36,1.7999999999999998,1146,57.3
movement_0_1_61.csv,2000,0,0.0,0,0.0,368,18.4
movement_0_1_62.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_1_63.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_1_64.csv,2000,0,0.0,0,0.0,193,9.65
movement_0_1_65.csv,2000,0,0.0,0,0.0,2000,100.0
movement_0_1_66.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_1_67.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_1_68.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_1_69.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_1_70.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_1_71.csv,2000,0,0.0,0,0.0,1057,52.849999999999994
movement_0_1_72.csv,2000,0,0.0,0,0.0,1524,76.2
movement_0_1_73.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_1_74.csv,2000,0,0.0,21,1.05,0,0.0
movement_0_1_75.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_1_76.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_1_77.csv,2000,0,0.0,0,0.0,2000,100.0
movement_0_1_78.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_1_79.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_1_80.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_1_81.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_1_82.csv,2000,0,0.0,0,0.0,1010,50.5
movement_0_1_83.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_1_84.csv,2000,0,0.0,25,1.25,328,16.400000000000002
movement_0_1_85.csv,2000,0,0.0,0,0.0,1026,51.300000000000004
movement_0_1_86.csv,2000,0,0.0,0,0.0,2000,100.0
movement_0_1_87.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_1_88.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_1_89.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_1_90.csv,2000,0,0.0,32,1.6,0,0.0
movement_0_1_91.csv,2000,0,0.0,0,0.0,997,49.85
movement_0_1_92.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_1_93.csv,2000,0,0.0,0,0.0,1104,55.2
movement_0_1_94.csv,2000,0,0.0,0,0.0,1041,52.05
movement_0_1_95.csv,2000,0,0.0,0,0.0,0,0.0
movement_0_1_96.csv,2000,0,0.0,10,0.5,0,0.0
movement_0_1_97.csv,2000,0,0.0,0,0.0,1004,50.2
movement_0_1_98.csv,2000,0,0.0,0,0.0,1070,53.5
movement_0_1_99.csv,2000,0,0.0,0,0.0,0,0.0
movement_1_0_0.csv,2000,0,0.0,0,0.0,0,0.0
movement_1_0_1.csv,2000,0,0.0,0,0.0,0,0.0
movement_1_0_2.csv,2000,0,0.0,0,0.0,0,0.0
movement_1_0_3.csv,2000,0,0.0,0,0.0,0,0.0
movement_1_0_4.csv,2000,0,0.0,52,2.6,0,0.0
movement_1_0_5.csv,2000,0,0.0,0,0.0,609,30.45
movement_1_0_6.csv,2000,0,0.0,0,0.0,8,0.4
movement_1_0_7.csv,2000,0,0.0,0,0.0,0,0.0
movement_1_0_8.csv,2000,0,0.0,0,0.0,0,0.0
movement_1_0_9.csv,2000,0,0.0,0,0.0,0,0.0
movement_1_0_10.csv,2000,0,0.0,0,0.0,0,0.0
movement_1_0_11.csv,2000,0,0.0,0,0.0,0,0.0
movement_1_0_12.csv,2000,0,0.0,2,0.1,1010,50.5
movement_1_0_13.csv,2000,0,0.0,0,0.0,1019,50.949999999999996
movement_1_0_14.csv,2000,0,0.0,0,0.0,0,0.0
movement_1_0_15.csv,2000,0,0.0,7,0.35000000000000003,1577,78.85
movement_1_0_16.csv,2000,0,0.0,0,0.0,0,0.0
movement_1_0_17.csv,2000,0,0.0,0,0.0,0,0.0
movement_1_0_18.csv,2000,0,0.0,0,0.0,0,0.0
movement_1_0_19.csv,2000,0,0.0,0,0.0,992,49.6
movement_1_0_20.csv,2000,0,0.0,36,1.7999999999999998,0,0.0
movement_1_0_21.csv,2000,0,0.0,0,0.0,0,0.0
movement_1_0_22.csv,2000,0,0.0,0,0.0,0,0.0
movement_1_0_23.csv,2000,0,0.0,0,0.0,0,0.0
movement_1_0_24.csv,2000,0,0.0,116,5.800000000000001,0,0.0
movement_1_0_25.csv,2000,0,0.0,0,0.0,0,0.0
movement_1_0_26.csv,2000,0,0.0,0,0.0,0,0.0
movement_1_0_27.csv,2000,0,0.0,0,0.0,1009,50.449999999999996
movement_1_0_28.csv,2000,0,0.0,0,0.0,654,32.7
movement_1_0_29.csv,2000,0,0.0,125,6.25,0,0.0
movement_1_0_30.csv,2000,0,0.0,0,0.0,0,0.0
movement_1_0_31.csv,2000,0,0.0,124,6.2,0,0.0
movement_1_0_32.csv,2000,0,0.0,0,0.0,0,0.0
movement_1_0_33.csv,2000,0,0.0,0,0.0,0,0.0
movement_1_0_34.csv,2000,0,0.0,0,0.0,1007,50.349999999999994
movement_1_0_35.csv,2000,0,0.0,0,0.0,996,49.8
movement_1_0_36.csv,2000,0,0.0,0,0.0,0,0.0
movement_1_0_37.csv,2000,0,0.0,0,0.0,0,0.0
movement_1_0_38.csv,2000,0,0.0,0,0.0,0,0.0
movement_1_0_39.csv,2000,0,0.0,0,0.0,0,0.0
movement_1_0_40.csv,2000,0,0.0,0,0.0,0,0.0
movement_1_0_41.csv,2000,0,0.0,0,0.0,0,0.0
movement_1_0_42.csv,2000,0,0.0,0,0.0,0,0.0
movement_1_0_43.csv,2000,0,0.0,0,0.0,0,0.0
movement_1_0_44.csv,2000,0,0.0,50,2.5,0,0.0
movement_1_0_45.csv,2000,0,0.0,0,0.0,1000,50.0
movement_1_0_46.csv,2000,0,0.0,0,0.0,0,0.0
movement_1_0_47.csv,2000,0,0.0,13,0.65,1995,99.75
movement_1_0_48.csv,2000,0,0.0,0,0.0,0,0.0
movement_1_0_49.csv,2000,0,0.0,0,0.0,0,0.0
movement_1_0_50.csv,2000,0,0.0,0,0.0,0,0.0
movement_1_0_51.csv,2000,0,0.0,0,0.0,0,0.0
movement_1_0_52.csv,2000,0,0.0,0,0.0,0,0.0
movement_1_0_53.csv,2000,0,0.0,0,0.0,0,0.0
movement_1_0_54.csv,2000,0,0.0,0,0.0,0,0.0
movement_1_0_55.csv,2000,0,0.0,0,0.0,0,0.0
movement_1_0_56.csv,2000,0,0.0,0,0.0,0,0.0
movement_1_0_57.csv,2000,0,0.0,0,0.0,962,48.1
movement_1_0_58.csv,2000,0,0.0,0,0.0,2000,100.0
movement_1_0_59.csv,2000,0,0.0,0,0.0,0,0.0
movement_1_0_60.csv,2000,0,0.0,0,0.0,0,0.0
movement_1_0_61.csv,2000,0,0.0,0,0.0,0,0.0
movement_1_0_62.csv,2000,0,0.0,0,0.0,0,0.0
movement_1_0_63.csv,2000,0,0.0,0,0.0,0,0.0
movement_1_0_64.csv,2000,0,0.0,0,0.0,0,0.0
movement_1_0_65.csv,2000,0,0.0,0,0.0,0,0.0
movement_1_0_66.csv,2000,0,0.0,0,0.0,0,0.0
movement_1_0_67.csv,2000,0,0.0,0,0.0,2000,100.0
movement_1_0_68.csv,2000,0,0.0,0,0.0,2000,100.0
movement_1_0_69.csv,2000,0,0.0,0,0.0,2000,100.0
movement_1_0_70.csv,2000,0,0.0,0,0.0,2000,100.0
movement_1_0_71.csv,2000,0,0.0,7,0.35000000000000003,1994,99.7
movement_1_0_72.csv,2000,0,0.0,0,0.0,1488,74.4
movement_1_0_73.csv,2000,0,0.0,0,0.0,1503,75.14999999999999
movement_1_0_74.csv,2000,0,0.0,0,0.0,0,0.0
movement_1_0_75.csv,2000,0,0.0,0,0.0,2000,100.0
movement_1_0_76.csv,2000,0,0.0,0,0.0,0,0.0
